"","gene_id","seqnames","start_3ire","end_3ire","transcript_id_3ire","gene_name","quality_3ire","start_5ire","end_5ire","transcript_id_5ire","quality_5ire"
"1","ENSMUSG00000099032","chr1",9962059,9962090,"ENSMUST00000185184","Tcf24","Low",9962059,9962090,"ENSMUST00000097824","Low"
"2","ENSMUSG00000042182","chr1",33852274,33852305,"ENSMUST00000115161","Bend6","Medium",33878383,33878414,"ENSMUST00000115161","Low"
"3","ENSMUSG00000026123","chr1",34870488,34870519,"ENSMUST00000156687","Plekhb2","Medium",34851894,34851925,"ENSMUST00000152654","Low"
"4","ENSMUSG00000048814","chr1",38794847,38794878,"ENSMUST00000147695","Lonrf2","Low",38836386,38836417,"ENSMUST00000147695","Low"
"5","ENSMUSG00000026070","chr1",40498920,40498951,"ENSMUST00000195684","Il18r1","Medium",40465677,40465708,"ENSMUST00000167723","Low"
"6","ENSMUSG00000056870","chr1",44795429,44795460,"ENSMUST00000074525","Gulp1","Medium",44553238,44553269,"ENSMUST00000161066","Low"
"7","ENSMUSG00000041439","chr1",52657952,52657983,"ENSMUST00000156876","Mfsd6","Low",52727042,52727073,"ENSMUST00000156876","Medium"
"8","ENSMUSG00000025979","chr1",55153377,55153408,"ENSMUST00000159311","Mob4","Medium",55131373,55131404,"ENSMUST00000162553","Medium"
"9","ENSMUSG00000026014","chr1",60486697,60486729,"ENSMUST00000140485","Raph1","Low",60566627,60566659,"ENSMUST00000140485","Low"
"10","ENSMUSG00000006301","chr1",74289224,74289255,"ENSMUST00000016309","Tmbim1","Low",74303581,74303612,"ENSMUST00000113796","Medium"
"11","ENSMUSG00000049866","chr1",88700234,88700265,"ENSMUST00000159814","Arl4c","Medium",88701948,88701979,"ENSMUST00000159814","Medium"
"12","ENSMUSG00000055013","chr1",89892304,89892335,"ENSMUST00000027521","Agap1","Medium",89581040,89581071,"ENSMUST00000074945","Low"
"13","ENSMUSG00000037035","chr1",119416659,119416690,"ENSMUST00000038765","Inhbb","Medium",119421213,119421244,"ENSMUST00000038765","Low"
"14","ENSMUSG00000026344","chr1",125872770,125872801,"ENSMUST00000159417","Lypd1","Low",125912105,125912136,"ENSMUST00000159417","Low"
"15","ENSMUSG00000026439","chr1",132505120,132505151,"ENSMUST00000027700","Rbbp5","Medium",132477491,132477522,"ENSMUST00000187505","Low"
"16","ENSMUSG00000026442","chr1",132568805,132568836,"ENSMUST00000094569","Nfasc","Medium",132665508,132665540,"ENSMUST00000094569","Medium"
"17","ENSMUSG00000052428","chr1",167331931,167331962,"ENSMUST00000097473","Tmco1","Low",167308741,167308772,"ENSMUST00000195015","Low"
"18","ENSMUSG00000038179","chr1",171633025,171633056,"ENSMUST00000192195","Slamf7","Low",171652886,171652917,"ENSMUST00000192195","Low"
"19","ENSMUSG00000005338","chr1",173334133,173334164,"ENSMUST00000111220","Cadm3","Medium",173367499,173367530,"ENSMUST00000111220","Low"
"20","ENSMUSG00000026749","chr2",38589939,38589971,"ENSMUST00000054234","Nek6","Medium",38511931,38511962,"ENSMUST00000112895","Low"
"21","ENSMUSG00000044647","chr2",66025270,66025301,"ENSMUST00000122912","Csrnp3","Medium",65932085,65932117,"ENSMUST00000145598","Low"
"22","ENSMUSG00000090059","chr2",86421792,86421823,"ENSMUST00000217481","Olfr1062","Medium",86426514,86426545,"ENSMUST00000217481","Low"
"23","ENSMUSG00000048482","chr2",109725150,109725181,"ENSMUST00000053317","Bdnf","Medium",109693034,109693065,"ENSMUST00000176893","Low"
"24","ENSMUSG00000027200","chr2",124666637,124666668,"ENSMUST00000103241","Sema6d","Low",124610447,124610479,"ENSMUST00000051419","Low"
"25","ENSMUSG00000027375","chr2",127634043,127634074,"ENSMUST00000028854","Mal","Low",127656217,127656248,"ENSMUST00000028854","Low"
"26","ENSMUSG00000027322","chr2",131072089,131072120,"ENSMUST00000110227","Siglec1","Low",131086252,131086283,"ENSMUST00000028794","Medium"
"27","ENSMUSG00000027356","chr2",132905844,132905875,"ENSMUST00000038280","Fermt1","High",132945489,132945520,"ENSMUST00000038280","Low"
"28","ENSMUSG00000027612","chr2",155816090,155816121,"ENSMUST00000029141","Mmp24","Low",155775403,155775434,"ENSMUST00000029141","Low"
"29","ENSMUSG00000038116","chr2",156308367,156308399,"ENSMUST00000037401","Phf20","Low",156196504,156196535,"ENSMUST00000145731","Low"
"30","ENSMUSG00000031214","chrX",98555529,98555560,"ENSMUST00000033560","Ophn1","Low",98890628,98890660,"ENSMUST00000033560","Medium"
"31","ENSMUSG00000027782","chr3",69070287,69070318,"ENSMUST00000029353","Kpna4","Low",69126510,69126539,"ENSMUST00000127497","Medium"
"32","ENSMUSG00000027887","chr3",108212887,108212918,"ENSMUST00000141387","Sypl2","Low",108226439,108226470,"ENSMUST00000141387","Low"
"33","ENSMUSG00000028134","chr3",119720658,119720684,"ENSMUST00000197833","Ptbp2","Low",119783773,119783804,"ENSMUST00000200097","Low"
"34","ENSMUSG00000028132","chr3",121206351,121206382,"ENSMUST00000128909","Tmem56","Low",121262705,121262736,"ENSMUST00000128909","Low"
"35","ENSMUSG00000049349","chr3",138049016,138049047,"ENSMUST00000053318","Gm5105","Medium",138066960,138066991,"ENSMUST00000053318","Low"
"36","ENSMUSG00000028152","chr3",138904031,138904062,"ENSMUST00000029800","Tspan5","Low",138778206,138778235,"ENSMUST00000142001","Low"
"37","ENSMUSG00000039988","chr3",158001076,158001107,"ENSMUST00000199727","Ankrd13c","Medium",157947265,157947296,"ENSMUST00000199727","Medium"
"38","ENSMUSG00000041235","chr4",8867042,8867073,"ENSMUST00000051558","Chd7","Medium",8710433,8710464,"ENSMUST00000129655","Low"
