"","gene_id","seqnames","start_3ire","end_3ire","transcript_id_3ire","gene_name","quality_3ire","start_5ire","end_5ire","transcript_id_5ire","quality_5ire"
"1","ENSG00000162413","chr1",6593803,6593834,"ENST00000377663","KLHL21","Low",6593803,6593834,"ENST00000610898","Low"
"2","ENSG00000177000","chr1",11794494,11794525,"ENST00000641747","MTHFR","Low",11805838,11805869,"ENST00000418034","Medium"
"3","ENSG00000169991","chr1",18904612,18904643,"ENST00000455833","IFFO2","Low",18956353,18956384,"ENST00000455833","Low"
"4","ENSG00000162542","chr1",19682363,19682394,"ENST00000294543","TMCO4","Low",19799889,19799917,"ENST00000294543","Low"
"5","ENSG00000126070","chr1",36059363,36059394,"ENST00000373191","AGO3","Low",35931313,35931344,"ENST00000324350","Low"
"6","ENSG00000162374","chr1",50203487,50203518,"ENST00000371827","ELAVL4","Low",50109698,50109729,"ENST00000371821","Low"
"7","ENSG00000185104","chr1",50439383,50439414,"ENST00000396153","FAF1","Low",50959817,50959848,"ENST00000396153","Medium"
"8","ENSG00000050628","chr1",70971275,70971306,"ENST00000306666","PTGER3","Low",71047747,71047778,"ENST00000370931","Medium"
"9","ENSG00000162836","chr1",147646759,147646790,"ENST00000583509","ACP6","Low",147670191,147670222,"ENST00000583509","Medium"
"10","ENSG00000188643","chr1",153607310,153607341,"ENST00000368704","S100A16","High",153612958,153612989,"ENST00000368706","Low"
"11","ENSG00000160710","chr1",154584706,154584737,"ENST00000368474","ADAR","Low",154608097,154608128,"ENST00000368474","High"
"12","ENSG00000185630","chr1",164560196,164560227,"ENST00000485769","PBX1","Low",164787668,164787699,"ENST00000559560","Low"
"13","ENSG00000143157","chr1",166852991,166853023,"ENST00000367876","POGK","Medium",166839721,166839753,"ENST00000449930","Low"
"14","ENSG00000135835","chr1",180949390,180949421,"ENST00000367588","KIAA1614","Low",180928399,180928430,"ENST00000367587","Medium"
"15","ENSG00000058673","chr1",203853146,203853177,"ENST00000367210","ZC3H11A","High",203799977,203800008,"ENST00000639812","Low"
"16","ENSG00000257315","chr1",203837966,203837991,"ENST00000550078","ZBED6","High",203799977,203800008,"ENST00000545588","Low"
"17","ENSG00000143514","chr1",223780315,223780346,"ENST00000391878","TP53BP2","Medium",223821239,223821270,"ENST00000391878","High"
"18","ENSG00000173567","chr2",26311878,26311910,"ENST00000435303","ADGRF3","Medium",26346451,26346482,"ENST00000435303","Medium"
"19","ENSG00000162959","chr2",31867902,31867934,"ENST00000295065","MEMO1","Low",32010519,32010550,"ENST00000295065","Low"
"20","ENSG00000150938","chr2",36549936,36549967,"ENST00000280527","CRIM1","Medium",36356028,36356059,"ENST00000280527","Low"
"21","ENSG00000184261","chr2",47518912,47518944,"ENST00000327876","KCNK12","Low",47570613,47570645,"ENST00000327876","Medium"
"22","ENSG00000055813","chr2",56384804,56384835,"ENST00000407595","CCDC85A","Low",56184407,56184438,"ENST00000407595","Low"
"23","ENSG00000163013","chr2",73258014,73258046,"ENST00000295133","FBXO41","Medium",73284304,73284335,"ENST00000521871","Low"
"24","ENSG00000144026","chr2",95148955,95148987,"ENST00000295208","ZNF514","Low",95159499,95159530,"ENST00000295208","Low"
"25","ENSG00000275111","chr2",95182220,95182251,"ENST00000617923","ZNF2","Medium",95165706,95165737,"ENST00000617923","Low"
"26","ENSG00000125637","chr2",113204529,113204560,"ENST00000441564","PSD4","Low",113174001,113174032,"ENST00000245796","Low"
