human_gene_id,mouse_gene_id,zebrafish_gene_id,gene_name,gene_biotype,description,symbol
ENSG00000188157,NA,NA,AGRN,protein_coding,agrin [Source:HGNC Symbol;Acc:HGNC:329],AGRN
ENSG00000162572,NA,NA,SCNN1D,protein_coding,sodium channel epithelial 1 delta subunit [Source:HGNC Symbol;Acc:HGNC:10601],SCNN1D
ENSG00000175756,NA,NA,AURKAIP1,protein_coding,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114],AURKAIP1
ENSG00000235169,NA,NA,SMIM1,protein_coding,small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204],SMIM1
ENSG00000171680,NA,NA,PLEKHG5,protein_coding,pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105],PLEKHG5
ENSG00000074800,NA,NA,ENO1,protein_coding,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350],ENO1
ENSG00000120948,NA,NA,TARDBP,protein_coding,TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571],TARDBP
ENSG00000177674,NA,NA,AGTRAP,protein_coding,angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539],AGTRAP
ENSG00000159423,NA,NA,ALDH4A1,protein_coding,aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406],ALDH4A1
ENSG00000117616,NA,NA,RSRP1,protein_coding,arginine and serine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234],RSRP1
ENSG00000117632,NA,NA,STMN1,protein_coding,stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510],STMN1
ENSG00000158008,NA,ENSG00000158008,EXTL1,protein_coding,exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515],EXTL1
ENSG00000142669,NA,NA,SH3BGRL3,protein_coding,SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568],SH3BGRL3
ENSG00000176083,NA,NA,ZNF683,protein_coding,zinc finger protein 683 [Source:HGNC Symbol;Acc:HGNC:28495],ZNF683
ENSG00000180198,NA,NA,RCC1,protein_coding,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913],RCC1
ENSG00000162512,NA,NA,SDC3,protein_coding,syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660],SDC3
ENSG00000184007,ENSG00000184007,NA,PTP4A2,protein_coding,"protein tyrosine phosphatase type IVA, member 2 [Source:HGNC Symbol;Acc:HGNC:9635]",PTP4A2
ENSG00000162522,NA,NA,KIAA1522,protein_coding,KIAA1522 [Source:HGNC Symbol;Acc:HGNC:29301],KIAA1522
ENSG00000134684,NA,NA,YARS,protein_coding,tyrosyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:12840],YARS
ENSG00000146463,NA,NA,ZMYM4,protein_coding,zinc finger MYM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:13055],ZMYM4
ENSG00000092853,NA,NA,CLSPN,protein_coding,claspin [Source:HGNC Symbol;Acc:HGNC:19715],CLSPN
ENSG00000119535,ENSG00000119535,NA,CSF3R,protein_coding,colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439],CSF3R
ENSG00000158315,NA,NA,RHBDL2,protein_coding,rhomboid like 2 [Source:HGNC Symbol;Acc:HGNC:16083],RHBDL2
ENSG00000131236,NA,NA,CAP1,protein_coding,cyclase associated actin cytoskeleton regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:20040],CAP1
ENSG00000049089,NA,NA,COL9A2,protein_coding,collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218],COL9A2
ENSG00000164002,NA,NA,EXO5,protein_coding,exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:26115],EXO5
ENSG00000186409,NA,NA,CCDC30,protein_coding,coiled-coil domain containing 30 [Source:HGNC Symbol;Acc:HGNC:26103],CCDC30
ENSG00000178028,NA,NA,DMAP1,protein_coding,DNA methyltransferase 1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18291],DMAP1
ENSG00000186603,NA,NA,HPDL,protein_coding,4-hydroxyphenylpyruvate dioxygenase like [Source:HGNC Symbol;Acc:HGNC:28242],HPDL
ENSG00000132781,NA,NA,MUTYH,protein_coding,mutY DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7527],MUTYH
ENSG00000132780,ENSG00000132780,NA,NASP,protein_coding,nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644],NASP
ENSG00000159596,NA,NA,TMEM69,protein_coding,transmembrane protein 69 [Source:HGNC Symbol;Acc:HGNC:28035],TMEM69
ENSG00000171357,NA,NA,LURAP1,protein_coding,leucine rich adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:32327],LURAP1
ENSG00000085831,NA,NA,TTC39A,protein_coding,tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657],TTC39A
ENSG00000203995,NA,NA,ZYG11A,protein_coding,"zyg-11 family member A, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:32058]",ZYG11A
ENSG00000157184,NA,NA,CPT2,protein_coding,carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330],CPT2
ENSG00000132849,NA,NA,PATJ,protein_coding,"PATJ, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:28881]",PATJ
ENSG00000158966,NA,NA,CACHD1,protein_coding,cache domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29314],CACHD1
ENSG00000118473,NA,NA,SGIP1,protein_coding,SH3 domain GRB2 like endophilin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25412],SGIP1
ENSG00000162594,NA,NA,IL23R,protein_coding,interleukin 23 receptor [Source:HGNC Symbol;Acc:HGNC:19100],IL23R
ENSG00000024526,NA,NA,DEPDC1,protein_coding,DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949],DEPDC1
ENSG00000117500,NA,NA,TMED5,protein_coding,transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251],TMED5
ENSG00000099260,ENSG00000099260,NA,PALMD,protein_coding,palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846],PALMD
ENSG00000162688,NA,NA,AGL,protein_coding,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]",AGL
ENSG00000121957,NA,NA,GPSM2,protein_coding,G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501],GPSM2
ENSG00000134202,NA,NA,GSTM3,protein_coding,glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635],GSTM3
ENSG00000177301,NA,NA,KCNA2,protein_coding,potassium voltage-gated channel subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:6220],KCNA2
ENSG00000155366,NA,NA,RHOC,protein_coding,ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669],RHOC
ENSG00000134207,ENSG00000134207,NA,SYT6,protein_coding,synaptotagmin 6 [Source:HGNC Symbol;Acc:HGNC:18638],SYT6
ENSG00000175984,NA,NA,DENND2C,protein_coding,DENN domain containing 2C [Source:HGNC Symbol;Acc:HGNC:24748],DENND2C
ENSG00000177551,NA,NA,NHLH2,protein_coding,nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818],NHLH2
ENSG00000198162,NA,NA,MAN1A2,protein_coding,mannosidase alpha class 1A member 2 [Source:HGNC Symbol;Acc:HGNC:6822],MAN1A2
ENSG00000131788,NA,NA,PIAS3,protein_coding,protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861],PIAS3
