human_gene_id,mouse_gene_id,zebrafish_gene_id,gene_name,gene_biotype,description,symbol
ENSG00000187642,ENSG00000187642,NA,PERM1,protein_coding,"PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]",PERM1
ENSG00000162571,NA,NA,TTLL10,protein_coding,tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693],TTLL10
ENSG00000224051,NA,NA,CPTP,protein_coding,ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116],CPTP
ENSG00000107404,NA,NA,DVL1,protein_coding,dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084],DVL1
ENSG00000242485,NA,NA,MRPL20,protein_coding,mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478],MRPL20
ENSG00000179403,NA,NA,VWA1,protein_coding,von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910],VWA1
ENSG00000160075,NA,NA,SSU72,protein_coding,"SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]",SSU72
ENSG00000248333,NA,NA,CDK11B,protein_coding,cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729],CDK11B
ENSG00000215790,NA,NA,SLC35E2A,protein_coding,solute carrier family 35 member E2A [Source:HGNC Symbol;Acc:HGNC:20863],SLC35E2A
ENSG00000078369,NA,NA,GNB1,protein_coding,G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396],GNB1
ENSG00000178821,NA,NA,TMEM52,protein_coding,transmembrane protein 52 [Source:HGNC Symbol;Acc:HGNC:27916],TMEM52
ENSG00000116151,ENSG00000116151,NA,MORN1,protein_coding,MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852],MORN1
ENSG00000149527,NA,NA,PLCH2,protein_coding,phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037],PLCH2
ENSG00000157873,NA,ENSG00000157873,TNFRSF14,protein_coding,TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912],TNFRSF14
ENSG00000157870,NA,NA,PRXL2B,protein_coding,peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390],PRXL2B
