human_gene_id,mouse_gene_id,zebrafish_gene_id,gene_name,gene_biotype,description,symbol
ENSG00000175756,NA,NA,AURKAIP1,protein_coding,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114],AURKAIP1
ENSG00000176083,NA,NA,ZNF683,protein_coding,zinc finger protein 683 [Source:HGNC Symbol;Acc:HGNC:28495],ZNF683
ENSG00000085831,NA,NA,TTC39A,protein_coding,tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657],TTC39A
ENSG00000177301,NA,NA,KCNA2,protein_coding,potassium voltage-gated channel subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:6220],KCNA2
ENSG00000269713,NA,NA,NBPF9,protein_coding,NBPF member 9 [Source:HGNC Symbol;Acc:HGNC:31991],NBPF9
ENSG00000264522,NA,NA,OTUD7B,protein_coding,OTU deubiquitinase 7B [Source:HGNC Symbol;Acc:HGNC:16683],OTUD7B
ENSG00000121446,NA,NA,RGSL1,protein_coding,regulator of G protein signaling like 1 [Source:HGNC Symbol;Acc:HGNC:18636],RGSL1
ENSG00000058668,NA,NA,ATP2B4,protein_coding,ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817],ATP2B4
ENSG00000163050,NA,NA,COQ8A,protein_coding,coenzyme Q8A [Source:HGNC Symbol;Acc:HGNC:16812],COQ8A
ENSG00000182551,NA,NA,ADI1,protein_coding,acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576],ADI1
ENSG00000171174,NA,NA,RBKS,protein_coding,ribokinase [Source:HGNC Symbol;Acc:HGNC:30325],RBKS
ENSG00000171126,NA,NA,KCNG3,protein_coding,potassium voltage-gated channel modifier subfamily G member 3 [Source:HGNC Symbol;Acc:HGNC:18306],KCNG3
ENSG00000116016,NA,NA,EPAS1,protein_coding,endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374],EPAS1
ENSG00000135638,NA,NA,EMX1,protein_coding,empty spiracles homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3340],EMX1
ENSG00000159239,NA,NA,AC005041.1,protein_coding,novel transcript,AC005041.1
ENSG00000284308,NA,NA,C2orf81,protein_coding,chromosome 2 open reading frame 81 [Source:HGNC Symbol;Acc:HGNC:34350],C2orf81
ENSG00000136560,NA,NA,TANK,protein_coding,TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562],TANK
ENSG00000138449,ENSG00000138449,NA,SLC40A1,protein_coding,solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909],SLC40A1
ENSG00000151690,NA,NA,MFSD6,protein_coding,major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711],MFSD6
ENSG00000188760,NA,NA,TMEM198,protein_coding,transmembrane protein 198 [Source:HGNC Symbol;Acc:HGNC:33704],TMEM198
ENSG00000167165,NA,NA,UGT1A6,protein_coding,UDP glucuronosyltransferase family 1 member A6 [Source:HGNC Symbol;Acc:HGNC:12538],UGT1A6
ENSG00000124839,NA,NA,RAB17,protein_coding,"RAB17, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16523]",RAB17
ENSG00000134121,NA,NA,CHL1,protein_coding,cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939],CHL1
ENSG00000154783,NA,NA,FGD5,protein_coding,"FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]",FGD5
ENSG00000177479,NA,NA,ARIH2,protein_coding,ariadne RBR E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:690],ARIH2
ENSG00000174500,NA,NA,GCSAM,protein_coding,germinal center associated signaling and motility [Source:HGNC Symbol;Acc:HGNC:20253],GCSAM
ENSG00000138760,NA,NA,SCARB2,protein_coding,scavenger receptor class B member 2 [Source:HGNC Symbol;Acc:HGNC:1665],SCARB2
ENSG00000138794,NA,NA,CASP6,protein_coding,caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507],CASP6
ENSG00000175857,NA,NA,GAPT,protein_coding,"GRB2 binding adaptor protein, transmembrane [Source:HGNC Symbol;Acc:HGNC:26588]",GAPT
ENSG00000171617,NA,NA,ENC1,protein_coding,ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345],ENC1
ENSG00000113396,NA,NA,SLC27A6,protein_coding,solute carrier family 27 member 6 [Source:HGNC Symbol;Acc:HGNC:11000],SLC27A6
ENSG00000155868,NA,NA,MED7,protein_coding,mediator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:2378],MED7
ENSG00000137411,NA,NA,VARS2,protein_coding,"valyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21642]",VARS2
ENSG00000156508,NA,NA,EEF1A1,protein_coding,eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189],EEF1A1
ENSG00000135341,NA,NA,MAP3K7,protein_coding,mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859],MAP3K7
ENSG00000158321,NA,NA,AUTS2,protein_coding,"AUTS2, activator of transcription and developmental regulator [Source:HGNC Symbol;Acc:HGNC:14262]",AUTS2
ENSG00000272391,NA,NA,POM121C,protein_coding,POM121 transmembrane nucleoporin C [Source:HGNC Symbol;Acc:HGNC:34005],POM121C
ENSG00000130429,NA,NA,ARPC1B,protein_coding,actin related protein 2/3 complex subunit 1B [Source:HGNC Symbol;Acc:HGNC:704],ARPC1B
ENSG00000049769,NA,NA,PPP1R3F,protein_coding,protein phosphatase 1 regulatory subunit 3F [Source:HGNC Symbol;Acc:HGNC:14944],PPP1R3F
ENSG00000158578,ENSG00000158578,ENSG00000158578,ALAS2,protein_coding,5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397],ALAS2
ENSG00000158301,NA,NA,GPRASP2,protein_coding,G protein-coupled receptor associated sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:25169],GPRASP2
ENSG00000185803,NA,NA,SLC52A2,protein_coding,solute carrier family 52 member 2 [Source:HGNC Symbol;Acc:HGNC:30224],SLC52A2
ENSG00000096968,NA,NA,JAK2,protein_coding,Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192],JAK2
ENSG00000165280,NA,NA,VCP,protein_coding,valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666],VCP
ENSG00000107338,NA,NA,SHB,protein_coding,SH2 domain containing adaptor protein B [Source:HGNC Symbol;Acc:HGNC:10838],SHB
ENSG00000162148,NA,NA,PPP1R32,protein_coding,protein phosphatase 1 regulatory subunit 32 [Source:HGNC Symbol;Acc:HGNC:28869],PPP1R32
ENSG00000167996,ENSG00000167996,ENSG00000167996,FTH1,protein_coding,ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976],FTH1
ENSG00000023171,NA,NA,GRAMD1B,protein_coding,GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214],GRAMD1B
ENSG00000138347,NA,NA,MYPN,protein_coding,myopalladin [Source:HGNC Symbol;Acc:HGNC:23246],MYPN
ENSG00000138162,NA,NA,TACC2,protein_coding,transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523],TACC2
ENSG00000111704,NA,NA,NANOG,protein_coding,Nanog homeobox [Source:HGNC Symbol;Acc:HGNC:20857],NANOG
ENSG00000123358,NA,NA,NR4A1,protein_coding,nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980],NR4A1
ENSG00000123297,NA,NA,TSFM,protein_coding,"Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]",TSFM
ENSG00000075188,NA,NA,NUP37,protein_coding,nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929],NUP37
ENSG00000184445,NA,NA,KNTC1,protein_coding,kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255],KNTC1
ENSG00000165474,NA,NA,GJB2,protein_coding,gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284],GJB2
ENSG00000270181,NA,NA,BIVM-ERCC5,protein_coding,BIVM-ERCC5 readthrough [Source:HGNC Symbol;Acc:HGNC:43690],BIVM-ERCC5
ENSG00000129460,NA,NA,NGDN,protein_coding,neuroguidin [Source:HGNC Symbol;Acc:HGNC:20271],NGDN
ENSG00000165861,NA,NA,ZFYVE1,protein_coding,zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180],ZFYVE1
ENSG00000133943,NA,NA,DGLUCY,protein_coding,D-glutamate cyclase [Source:HGNC Symbol;Acc:HGNC:20498],DGLUCY
ENSG00000137824,NA,NA,RMDN3,protein_coding,regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:HGNC:25550],RMDN3
ENSG00000138592,NA,NA,USP8,protein_coding,ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:HGNC:12631],USP8
ENSG00000285253,NA,NA,AC090517.4,protein_coding,zinc finger protein 280D [Source:NCBI gene;Acc:54816],AC090517.4
ENSG00000213614,NA,NA,HEXA,protein_coding,hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878],HEXA
ENSG00000169594,NA,NA,BNC1,protein_coding,basonuclin 1 [Source:HGNC Symbol;Acc:HGNC:1081],BNC1
ENSG00000134398,NA,NA,ERN2,protein_coding,endoplasmic reticulum to nucleus signaling 2 [Source:HGNC Symbol;Acc:HGNC:16942],ERN2
ENSG00000166747,NA,NA,AP1G1,protein_coding,adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555],AP1G1
ENSG00000140941,NA,NA,MAP1LC3B,protein_coding,microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352],MAP1LC3B
ENSG00000068097,NA,NA,HEATR6,protein_coding,HEAT repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:24076],HEATR6
ENSG00000204323,NA,NA,SMIM5,protein_coding,small integral membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:40030],SMIM5
ENSG00000242550,NA,NA,SERPINB10,protein_coding,serpin family B member 10 [Source:HGNC Symbol;Acc:HGNC:8942],SERPINB10
ENSG00000081138,NA,NA,CDH7,protein_coding,cadherin 7 [Source:HGNC Symbol;Acc:HGNC:1766],CDH7
ENSG00000125821,NA,NA,DTD1,protein_coding,D-tyrosyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219],DTD1
ENSG00000149600,NA,NA,COMMD7,protein_coding,COMM domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16223],COMMD7
ENSG00000087903,NA,NA,RFX2,protein_coding,regulatory factor X2 [Source:HGNC Symbol;Acc:HGNC:9983],RFX2
ENSG00000104889,NA,NA,RNASEH2A,protein_coding,ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518],RNASEH2A
ENSG00000167460,NA,NA,TPM4,protein_coding,tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013],TPM4
ENSG00000186567,NA,NA,CEACAM19,protein_coding,carcinoembryonic antigen related cell adhesion molecule 19 [Source:HGNC Symbol;Acc:HGNC:31951],CEACAM19
ENSG00000125740,NA,NA,FOSB,protein_coding,"FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]",FOSB
ENSG00000087086,ENSG00000087086,NA,FTL,protein_coding,ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999],FTL
ENSG00000100360,NA,NA,IFT27,protein_coding,intraflagellar transport 27 [Source:HGNC Symbol;Acc:HGNC:18626],IFT27
ENSG00000100079,NA,NA,LGALS2,protein_coding,galectin 2 [Source:HGNC Symbol;Acc:HGNC:6562],LGALS2
ENSG00000185022,NA,NA,MAFF,protein_coding,MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780],MAFF
ENSG00000100221,NA,NA,JOSD1,protein_coding,Josephin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28953],JOSD1
ENSG00000154645,NA,NA,CHODL,protein_coding,chondrolectin [Source:HGNC Symbol;Acc:HGNC:17807],CHODL
ENSG00000169047,ENSG00000169047,NA,IRS1,protein_coding,insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125],IRS1
ENSG00000123243,ENSG00000123243,NA,ITIH5,protein_coding,inter-alpha-trypsin inhibitor heavy chain family member 5 [Source:HGNC Symbol;Acc:HGNC:21449],ITIH5
ENSG00000101126,ENSG00000101126,NA,ADNP,protein_coding,activity dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:HGNC:15766],ADNP
ENSG00000164056,ENSG00000164056,NA,SPRY1,protein_coding,sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269],SPRY1
